,,, Experiment number: ,Unnamed: 1,#1767,Unnamed: 3
,,, Experiment date: ,,February-2-2018,
,,, Animal Strain: ,,,
,,, Animal Birthdate: ,,February-2-2018,
,,, Color of Animal: ,,Dark,
,,, Size of Animal: ,,Regular,
,,,Analysis Length:,,"23:51'38""",
,,,,,,
,,,Distance Traveled,=,257.51181,(meters)
,,,,,,
,,,,,,
 From Time ,  To Time  , Length(seconds) , Behavior ,Comment,,
"1:11'22""","1:11'23""",0.48,Walk Right,,,
"1:11'23""","1:11'24""",1.68,Eat Zone1,,,
"1:11'24""","1:11'25""",0.32,Forage,,,
"1:11'25""","1:11'25""",0.16,Forage,,,
"1:11'25""","1:11'25""",0.28,Walk Right,,,
"1:11'25""","1:11'26""",0.24,Forage,,,
"1:11'26""","1:11'26""",0.32,Dig,,,
"1:11'26""","1:11'26""",0.24,Rear up Partially,,,
"1:11'26""","1:11'27""",1.00,Remain Partially Reared,,,
"1:11'27""","1:11'28""",0.44,Come Down From Partially Reared,,,
"1:11'28""","1:11'28""",0.24,Rear up Partially,,,
"1:11'28""","1:11'29""",0.96,Sniff,,,
"1:11'29""","1:11'29""",0.24,Come Down From Partially Reared,,,
"1:11'30""","1:11'35""",4.80,Groom,,PLF,
"1:11'35""","1:11'39""",4.52,Pause,,,
"1:11'40""","1:11'40""",0.24,Rear up Partially,,,
"1:11'40""","1:11'42""",1.92,Sniff,,,
"1:11'42""","1:11'43""",1.44,Remain Partially Reared,,,
"1:11'43""","1:11'43""",0.24,Come Down From Partially Reared,,,
"1:11'43""","1:11'44""",0.24,Rear up Partially,,,
"1:11'44""","1:11'44""",0.24,Come Down From Partially Reared,,,
"1:11'44""","1:11'44""",0.24,Rear up Partially,,,
"1:11'44""","1:11'44""",0.24,Remain Partially Reared,,,
"1:11'44""","1:11'45""",0.24,Rear up Full From Partial,,,
"1:11'45""","1:11'45""",0.24,Come Down To Partially Reared,,,
"1:11'45""","1:11'45""",0.24,Remain Partially Reared,,,
"1:11'45""","1:11'46""",0.52,Jump,,,
"1:11'46""","1:11'46""",0.12,Remain Partially Reared,,,
"1:11'46""","1:11'50""",4.40,Groom,,B_L,
"1:11'51""","1:11'51""",0.16,Forage,,,
"1:11'51""","1:11'51""",0.24,Dig,,,
"1:11'52""","1:11'52""",0.24,Rear up Partially,,,
"1:11'52""","1:11'53""",0.96,Remain Partially Reared,,,
"1:11'53""","1:11'53""",0.08,Rear up Full From Partial,,,
"1:11'53""","1:11'53""",0.40,Jump,,,
"1:11'53""","1:11'53""",0.28,Come Down,,,
"1:11'54""","1:11'54""",0.52,Forage,,,
"1:11'54""","1:11'54""",0.16,Dig,,,
"1:11'57""","1:12'02""",4.40,Groom,,B_L<-PLF<-HdW,
"1:12'05""","1:12'05""",0.24,Forage,,,
"1:12'06""","1:12'06""",0.48,Walk Slowly,,,
"1:12'06""","1:12'07""",0.48,Walk Left,,,
"1:12'07""","1:12'08""",0.36,Forage,,,
"1:12'08""","1:12'08""",0.28,Walk Slowly,,,
"1:12'08""","1:12'12""",4.04,Groom,,HdW,
"1:12'19""","1:12'27""",8.08,Groom,,B_L<-PLF,
"1:12'27""","1:12'32""",4.32,Groom,,PLF<-HdW,
"1:12'33""","1:12'33""",0.48,Rear up Partially,,face-front/back,
"1:12'33""","1:12'34""",0.96,Eat Zone1,,,
"1:12'34""","1:12'35""",0.24,Come Down,,,
"1:12'35""","1:12'35""",0.60,Walk Right,,,
"1:12'35""","1:12'35""",0.24,Walk Slowly,,,
"1:12'35""","1:12'36""",0.24,Stretch Body,,,
"1:12'36""","1:12'36""",0.24,Walk Right,,,
"1:12'36""","1:12'36""",0.20,Forage,,,
"1:12'36""","1:12'36""",0.28,Rear up Partially,,,
"1:12'36""","1:12'37""",0.48,Remain Partially Reared,,,
"1:12'37""","1:12'37""",0.24,Rear up Full From Partial,,,
"1:12'37""","1:12'37""",0.24,Sniff,,,
"1:12'37""","1:12'38""",0.24,Come Down To Partially Reared,,,
"1:12'38""","1:12'38""",0.48,Sniff,,,
"1:12'38""","1:12'39""",0.48,Remain Partially Reared,,,
"1:12'39""","1:12'39""",0.24,Come Down From Partially Reared,,,
"1:12'39""","1:12'39""",0.20,Walk Left,,,
"1:12'39""","1:12'39""",0.16,Forage,,,
"1:12'39""","1:12'39""",0.28,Come Down From Partially Reared,,,
"1:12'39""","1:12'40""",0.24,Rear up Partially,,,
"1:12'40""","1:12'40""",0.24,Remain Partially Reared,,,
"1:12'40""","1:12'40""",0.24,Come Down From Partially Reared,,,
"1:12'40""","1:12'45""",5.04,Eat Zone1,,,
"1:12'45""","1:12'45""",0.24,Come Down,,,
"1:12'45""","1:12'46""",0.24,Walk Right,,,
"1:12'46""","1:12'53""",7.36,Eat Zone1,,,
"1:12'53""","1:12'53""",0.24,Come Down From Partially Reared,,>B_L,
"1:12'53""","1:12'54""",0.48,Walk Right,,,
"1:12'54""","1:12'54""",0.16,Forage,,,
"1:12'54""","1:12'55""",0.24,Dig,,,
"1:12'55""","1:12'55""",0.08,Forage,,,
"1:12'55""","1:12'55""",0.32,Dig,,,
"1:12'55""","1:12'55""",0.24,Dig,,,
"1:12'55""","1:12'56""",0.64,Sniff,,,
"1:12'56""","1:12'57""",0.48,Come Down From Partially Reared,,,
"1:12'58""","1:12'59""",0.24,Forage,,,
"1:12'59""","1:13'02""",3.84,Groom,,B_L,
"1:13'02""","1:13'03""",0.32,Dig,,,
"1:13'03""","1:13'04""",0.32,Dig,,,
"1:13'05""","1:13'05""",0.16,Forage,,,
"1:13'05""","1:13'05""",0.28,Walk Slowly,,,
"1:13'06""","1:13'07""",0.36,Dig,,,
"1:13'07""","1:13'07""",0.24,Walk Slowly,,,
"1:13'08""","1:13'08""",0.24,Rear up Partially,,,
"1:13'08""","1:13'09""",0.88,Sniff,,,
"1:13'09""","1:13'09""",0.44,Rear up Full From Partial,,,
"1:13'09""","1:13'11""",1.68,Sniff,,,
"1:13'11""","1:13'11""",0.24,Come Down,,,
"1:13'11""","1:13'12""",0.24,Walk Slowly,,,
"1:13'12""","1:13'12""",0.12,Rear Up,,,
"1:13'12""","1:13'12""",0.40,Jump,,,
"1:13'12""","1:13'13""",1.00,Eat Zone1,,,
"1:13'13""","1:13'15""",1.44,Sniff,,,
"1:13'15""","1:13'15""",0.48,"HangVertically(HVfromRU, RemainHV)",,,
"1:13'15""","1:13'16""",0.72,"HangCuddled(HangCudl, RemainHC)",,,
"1:13'16""","1:13'16""",0.24,Come Down From Partially Reared,,,
"1:13'16""","1:13'16""",0.24,Walk Right,,,
"1:13'16""","1:13'16""",0.24,Rear up Partially,,,
"1:13'16""","1:13'17""",0.24,Remain Partially Reared,,,
"1:13'17""","1:13'17""",0.20,Forage,,,
"1:13'17""","1:13'17""",0.20,Rear up Partially,,,
"1:13'17""","1:13'18""",0.56,Jump,,,
"1:13'18""","1:13'18""",0.40,Remain Partially Reared,,,
"1:13'18""","1:13'18""",0.24,Rear up Full From Partial,,,
"1:13'18""","1:13'19""",0.48,Sniff,,,
"1:13'19""","1:13'19""",0.24,Come Down,,,
"1:13'19""","1:13'19""",0.24,Walk Left,,,
"1:13'20""","1:13'20""",0.36,Walk Slowly,,,
"1:13'20""","1:13'20""",0.36,Rear Up,,,
"1:13'20""","1:13'23""",2.64,Sniff,,,
"1:13'23""","1:13'23""",0.24,Come Down,,,
"1:13'23""","1:13'23""",0.24,Walk Right,,,
"1:13'23""","1:13'24""",0.24,Rear up Partially,,,
"1:13'24""","1:13'24""",0.24,Walk Slowly,,,
"1:13'24""","1:13'25""",0.96,"RearUp(RUfromPR, RemainRU)",,,
"1:13'25""","1:13'25""",0.24,Hang Vertically From Rear Up,,,
"1:13'25""","1:13'28""",2.88,"HangCuddled(HangCudl, RemainHC, HangCudl, RemainHC)",,,
"1:13'28""","1:13'28""",0.24,HangVertically From HangCuddled,,,
"1:13'29""","1:13'31""",1.28,Sniff,,face-right,
"1:13'31""","1:13'31""",0.24,Stretch Body,,,
"1:13'31""","1:13'31""",0.24,Sniff,,,
"1:13'31""","1:13'32""",0.72,Drink Spout1,,,
"1:13'32""","1:13'32""",0.72,Sniff,,,
"1:13'32""","1:13'33""",0.48,Drink Spout1,,,
"1:13'33""","1:13'34""",1.08,Sniff,,,
"1:13'34""","1:13'34""",0.24,Rear up Full From Partial,,,
"1:13'34""","1:13'37""",2.40,Sniff,,,
"1:13'37""","1:13'37""",0.24,Come Down To Partially Reared,,,
"1:13'37""","1:13'37""",0.48,"RearUp(RUfromPR, RemainRU)",,,
"1:13'37""","1:13'38""",0.24,Come Down To Partially Reared,,,
"1:13'38""","1:13'38""",0.24,Remain Partially Reared,,,
"1:13'38""","1:13'38""",0.24,Come Down From Partially Reared,,,
"1:13'38""","1:13'38""",0.24,Rear up Partially,,,
"1:13'38""","1:13'39""",0.24,Remain Partially Reared,,,
"1:13'39""","1:13'39""",0.24,Come Down From Partially Reared,,,
"1:13'39""","1:13'40""",0.24,Rear up Partially,,,
"1:13'40""","1:13'41""",1.56,Sniff,,,
"1:13'41""","1:13'41""",0.24,Remain Partially Reared,,,
"1:13'41""","1:13'42""",0.24,Come Down From Partially Reared,,,
"1:13'42""","1:13'42""",0.24,Rear up Partially,,,
"1:13'42""","1:13'43""",0.48,Sniff,,,
"1:13'43""","1:13'43""",0.24,Rear up Full From Partial,,,
"1:13'43""","1:13'43""",0.24,Come Down To Partially Reared,,,
"1:13'43""","1:13'44""",0.48,Sniff,,,
"1:13'44""","1:13'46""",2.16,Remain Partially Reared,,,
"1:13'46""","1:13'46""",0.24,Come Down From Partially Reared,,,
"1:13'47""","1:13'50""",3.36,Groom,,PLF,
"1:13'51""","1:14'03""",12.28,Groom,,PLF(Night),
"1:14'03""","1:14'03""",0.28,Rear up Full From Partial,,,
"1:14'03""","1:14'03""",0.24,Sniff,,,
"1:14'03""","1:14'04""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"1:14'05""","1:14'05""",0.24,Rear up Partially,,,
"1:14'05""","1:14'09""",3.84,Groom,,B_L<-PLF,
"1:14'09""","1:14'09""",0.52,Remain Partially Reared,,,
"1:14'09""","1:14'10""",0.24,Come Down From Partially Reared,,,
"1:14'10""","1:14'14""",4.32,Groom,,HdW,
"1:14'14""","1:14'16""",1.72,Sniff,,,
"1:14'16""","1:14'16""",0.24,Come Down To Partially Reared,,face-front/back,
"1:14'16""","1:14'17""",0.96,Sniff,,,
"1:14'17""","1:14'18""",0.48,Drink Spout1,,,
"1:14'18""","1:14'18""",0.24,Remain Partially Reared,,,
"1:14'18""","1:14'18""",0.24,Rear up Full From Partial,,,
"1:14'18""","1:14'19""",0.72,Sniff,,face-right,
"1:14'19""","1:14'19""",0.24,Come Down To Partially Reared,,,
"1:14'19""","1:14'19""",0.24,Rear up Full From Partial,,,
"1:14'19""","1:14'19""",0.24,Come Down,,,
"1:14'19""","1:14'20""",0.36,Rear up Partially,,,
"1:14'20""","1:14'21""",1.68,Sniff,,,
"1:14'21""","1:14'22""",0.24,Rear up Full From Partial,,,
"1:14'22""","1:14'24""",1.92,Sniff,,,
"1:14'24""","1:14'24""",0.72,"HangVertically(HVfromRU, RemainHV)",,,
"1:14'24""","1:14'25""",0.36,Land Vertically,,,
"1:14'25""","1:14'25""",0.60,"HangCuddled(HangCudl, RemainHC)",,,
"1:14'25""","1:14'26""",0.96,Sniff,,,
"1:14'26""","1:14'27""",0.24,Rear up Full From Partial,,,
"1:14'27""","1:14'27""",0.24,Come Down To Partially Reared,,,
"1:14'27""","1:14'27""",0.24,Remain Partially Reared,,,
"1:14'27""","1:14'27""",0.24,Rear up Full From Partial,,,
"1:14'27""","1:14'28""",1.20,Sniff,,,
"1:14'28""","1:14'29""",0.96,"HangVertically(HVfromRU, RemainHV)",,,
"1:14'29""","1:14'30""",0.48,Come Down To Partially Reared,,,
"1:14'30""","1:14'31""",1.20,Walk Left,,,
"1:14'31""","1:14'31""",0.24,Rear up Partially,,,
"1:14'31""","1:14'32""",0.24,Remain Partially Reared,,,
"1:14'32""","1:14'32""",0.24,Come Down From Partially Reared,,,
"1:14'32""","1:14'32""",0.24,Rear up Partially,,,
"1:14'32""","1:14'32""",0.24,Remain Partially Reared,,,
"1:14'33""","1:14'34""",1.44,"RearUp(RUfromPR, RemainRU)",,,
"1:14'34""","1:14'34""",0.24,Come Down To Partially Reared,,,
"1:14'34""","1:14'34""",0.24,Rear up Full From Partial,,,
"1:14'34""","1:14'36""",1.44,Eat Zone1,,,
"1:14'36""","1:14'36""",0.24,Sniff,,,
"1:14'36""","1:14'36""",0.24,Hang Vertically From Rear Up,,,
"1:14'36""","1:14'37""",0.72,"ComeDown(CDtoPR, CDfromPR)",,,
"1:14'38""","1:14'38""",0.24,Chew,,,
"1:14'38""","1:14'41""",2.96,Eat Zone1,,,
"1:14'41""","1:14'41""",0.24,Chew,,>B_L,
"1:14'41""","1:14'43""",1.92,Eat Zone1,,,
"1:14'43""","1:14'45""",2.16,Chew,,,
"1:14'46""","1:14'46""",0.24,Walk Slowly,,,
"1:14'46""","1:14'47""",0.48,Walk Right,,,
"1:14'47""","1:14'47""",0.24,Rear up Partially,,,
"1:14'47""","1:14'48""",1.20,Sniff,,,
"1:14'48""","1:14'49""",0.48,Drink Spout1,,,
"1:14'49""","1:14'49""",0.48,Sniff,,,
"1:14'49""","1:14'49""",0.24,Rear up Full From Partial,,,
"1:14'49""","1:14'51""",1.20,Sniff,,,
"1:14'51""","1:14'51""",0.24,Hang Vertically From Rear Up,,,
"1:14'51""","1:14'51""",0.36,Land Vertically,,,
"1:14'51""","1:14'51""",0.24,Sniff,,,
"1:14'51""","1:14'52""",0.24,Remain RearUp,,,
"1:14'52""","1:14'55""",3.36,"HangVertically(HVfromRU, RemainHV)",,,
"1:14'55""","1:15'09""",14.40,"HangCuddled(HangCudl, RemainHC, HangCudl, RemainHC)",,,
"1:15'09""","1:15'10""",0.24,Land Vertically,,,
"1:15'10""","1:15'10""",0.24,Come Down From Partially Reared,,,
"1:15'10""","1:15'11""",0.24,Walk Slowly,,,
"1:15'11""","1:15'11""",0.48,Walk Left,,,
"1:15'11""","1:15'11""",0.24,Rear up Partially,,,
"1:15'11""","1:15'12""",0.72,Remain Partially Reared,,,
"1:15'12""","1:15'12""",0.16,Forage,,,
"1:15'12""","1:15'13""",0.28,Rear up Partially,,,
"1:15'13""","1:15'14""",1.44,"ComeDown(CDfromPR, CDfromPR)",,,
"1:15'14""","1:15'14""",0.24,Rear up Partially,,,
"1:15'14""","1:15'15""",0.72,Remain Partially Reared,,,
"1:15'15""","1:15'15""",0.24,Rear up Full From Partial,,,
"1:15'15""","1:15'16""",1.20,Sniff,,,
"1:15'16""","1:15'17""",0.72,"ComeDown(CDtoPR, CDfromPR)",,,
"1:15'18""","1:15'18""",0.36,Walk Slowly,,,
"1:15'19""","1:15'19""",0.24,Rear up Partially,,,
"1:15'19""","1:15'21""",1.32,Remain Partially Reared,,,
"1:15'21""","1:15'21""",0.24,Come Down From Partially Reared,,,
"1:15'22""","1:15'22""",0.24,Rear up Partially,,,
"1:15'22""","1:15'22""",0.48,Sniff,,,
"1:15'22""","1:15'22""",0.24,Rear up Full From Partial,,,
"1:15'22""","1:15'24""",1.92,Sniff,,,
"1:15'24""","1:15'25""",0.24,Come Down,,,
"1:15'26""","1:15'27""",0.60,Walk Right,,,
"1:15'28""","1:15'28""",0.16,Dig,,,
"1:15'29""","1:15'29""",0.24,Forage,,,
"1:15'30""","1:15'30""",0.16,Forage,,,
"1:15'30""","1:15'30""",0.16,Walk Left,,,
"1:15'30""","1:15'30""",0.16,Forage,,,
"1:15'32""","1:15'33""",0.68,Forage,,,
"1:15'33""","1:15'33""",0.24,Dig,,,
"1:15'35""","1:15'35""",0.36,Rear up Partially,,,
"1:15'35""","1:15'49""",14.08,Eat Zone1,,,
"1:15'49""","1:15'52""",2.64,Groom,,B_L,
"1:15'52""","1:16'11""",19.00,Eat Zone1,,,
"1:16'11""","1:16'11""",0.48,Chew,,,
"1:16'11""","1:16'21""",10.08,Eat Zone1,,,
"1:16'23""","1:16'47""",24.76,Eat Zone1,,,
"1:16'47""","1:16'48""",0.24,Chew,,,
"1:16'48""","1:16'57""",9.48,Eat Zone1,,,
"1:16'57""","1:16'59""",1.44,Chew,,>B_L,
"1:16'59""","1:17'04""",5.76,Eat Zone1,,,
"1:17'06""","1:17'08""",1.60,Eat Zone1,,,
"1:17'08""","1:17'09""",1.20,Sniff,,,
"1:17'09""","1:17'09""",0.24,Come Down From Partially Reared,,,
"1:17'09""","1:17'10""",0.24,Dig,,,
"1:17'10""","1:17'10""",0.08,Forage,,,
"1:17'10""","1:17'10""",0.24,Dig,,,
"1:17'10""","1:17'10""",0.32,Forage,,,
"1:17'10""","1:17'11""",0.16,Dig,,,
"1:17'11""","1:17'11""",0.16,Forage,,,
"1:17'11""","1:17'11""",0.44,Dig,,,
"1:17'11""","1:17'13""",1.24,Sniff,,,
"1:17'13""","1:17'13""",0.16,Forage,,,
"1:17'13""","1:17'14""",0.16,Forage,,,
"1:17'14""","1:17'14""",0.28,Forage,,,
"1:17'14""","1:17'15""",0.28,Come Down From Partially Reared,,,
"1:17'16""","1:17'17""",0.24,Rear up Partially,,,
"1:17'17""","1:17'17""",0.48,Remain Partially Reared,,,
"1:17'17""","1:17'17""",0.24,Come Down From Partially Reared,,,
"1:17'18""","1:17'18""",0.24,Rear up Partially,,,
"1:17'18""","1:17'18""",0.24,Sniff,,,
"1:17'18""","1:17'19""",0.48,Drink Spout1,,,
"1:17'19""","1:17'19""",0.48,Remain Partially Reared,,,
"1:17'19""","1:17'20""",0.40,Come Down From Partially Reared,,,
"1:17'20""","1:17'20""",0.44,Walk Slowly,,,
"1:17'20""","1:17'21""",0.48,Walk Left,,,
"1:17'21""","1:17'21""",0.24,Walk Slowly,,,
"1:17'22""","1:17'22""",0.72,Forage,,,
"1:17'22""","1:17'23""",0.16,Dig,,,
"1:17'24""","1:17'24""",0.32,Dig,,,
"1:17'26""","1:17'26""",0.36,Forage,,,
"1:17'26""","1:17'27""",0.40,Walk Right,,,
"1:17'27""","1:17'27""",0.40,Forage,,,
"1:17'27""","1:17'27""",0.28,Walk Right,,,
"1:17'27""","1:17'27""",0.24,Walk Slowly,,,
"1:17'27""","1:17'28""",0.24,Rear up Partially,,,
"1:17'28""","1:17'28""",0.24,Remain Partially Reared,,,
"1:17'28""","1:17'28""",0.24,Rear up Full From Partial,,,
"1:17'28""","1:17'29""",0.72,Sniff,,,
"1:17'29""","1:17'29""",0.48,Stretch Body,,,
"1:17'29""","1:17'32""",3.12,Sniff,,,
"1:17'32""","1:17'33""",0.24,Remain RearUp,,,
"1:17'33""","1:17'34""",0.96,Drink Spout1,,,
"1:17'34""","1:17'34""",0.24,Remain RearUp,,,
"1:17'34""","1:17'34""",0.48,Drink Spout1,,,
"1:17'35""","1:17'35""",0.24,Remain Hang Vertically,,,
"1:17'35""","1:17'44""",8.88,"HangCuddled(HangCudl, RemainHC)",,,
"1:17'44""","1:17'44""",0.48,Come Down,,,
"1:17'44""","1:17'45""",0.48,Walk Left,,,
"1:17'45""","1:17'45""",0.24,Walk Slowly,,,
"1:17'46""","1:17'46""",0.32,Forage,,,
"1:17'47""","1:17'47""",0.36,Stretch Body,,,
"1:17'48""","1:17'48""",0.24,Rear up Partially,,,
"1:17'48""","1:18'00""",12.00,Eat Zone1,,,
"1:18'00""","1:18'00""",0.24,Chew,,,
"1:18'00""","1:18'01""",1.20,Eat Zone1,,,
"1:18'01""","1:18'02""",0.24,Remain Partially Reared,,,
"1:18'02""","1:18'02""",0.20,Come Down From Partially Reared,,,
"1:18'02""","1:18'02""",0.16,Forage,,,
"1:18'02""","1:18'03""",0.96,Eat Zone1,,,
"1:18'03""","1:18'04""",0.24,Chew,,,
"1:18'04""","1:18'06""",2.64,Eat Zone1,,,
"1:18'06""","1:18'09""",3.12,"HangCuddled(HangCudl, RemainHC)",,,
"1:18'09""","1:18'10""",0.48,Come Down,,,
"1:18'10""","1:18'10""",0.40,Walk Right,,,
"1:18'10""","1:18'10""",0.16,Forage,,,
"1:18'10""","1:18'11""",0.28,Walk Slowly,,,
"1:18'11""","1:18'11""",0.24,Remain Partially Reared,,,
"1:18'11""","1:18'11""",0.24,Rear up Full From Partial,,,
"1:18'11""","1:18'12""",0.48,Sniff,,,
"1:18'12""","1:18'12""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"1:18'12""","1:18'12""",0.24,Rear up Partially,,,
"1:18'12""","1:18'13""",0.48,Come Down From Partially Reared,,,
"1:18'13""","1:18'13""",0.24,Rear up Partially,,,
"1:18'13""","1:18'15""",1.20,Sniff,,,
"1:18'15""","1:18'15""",0.24,Remain Partially Reared,,,
"1:18'15""","1:18'15""",0.24,Rear up Full From Partial,,,
"1:18'15""","1:18'15""",0.16,Sniff,,,
"1:18'15""","1:18'16""",1.00,Repetitive Jumping,,,
"1:18'16""","1:18'17""",0.28,Come Down From Partially Reared,,,
"1:18'18""","1:18'19""",0.24,Rear up Partially,,,
"1:18'19""","1:18'20""",0.96,Remain Partially Reared,,,
"1:18'20""","1:18'20""",0.24,Come Down From Partially Reared,,,
"1:18'21""","1:18'21""",0.24,Rear up Partially,,,
"1:18'21""","1:18'21""",0.24,Remain Partially Reared,,,
"1:18'21""","1:18'21""",0.24,Come Down From Partially Reared,,,
"1:18'22""","1:18'22""",0.24,Walk Slowly,,,
"1:18'22""","1:18'23""",0.48,Walk Left,,,
"1:18'23""","1:18'23""",0.24,Forage,,,
"1:18'23""","1:18'24""",0.28,Rear up Partially,,,
"1:18'24""","1:18'24""",0.24,Come Down From Partially Reared,,,
"1:18'24""","1:18'24""",0.16,Forage,,,
"1:18'24""","1:18'25""",0.28,Rear up Partially,,,
"1:18'25""","1:18'25""",0.24,Come Down From Partially Reared,,,
"1:18'25""","1:18'25""",0.36,Walk Left,,,
"1:18'26""","1:18'31""",5.20,Groom,,PLR<-PLF,
"1:18'32""","1:18'37""",4.84,Groom,,PLF<-HdW,
"1:18'37""","1:18'37""",0.36,Forage,,,
"1:18'37""","1:18'37""",0.20,Dig,,,
"1:18'37""","1:18'38""",0.16,Forage,,,
"1:18'38""","1:18'38""",0.08,Forage,,,
"1:18'38""","1:18'38""",0.20,Dig,,,
"1:18'38""","1:18'38""",0.16,Forage,,,
"1:18'38""","1:18'38""",0.44,Dig,,,
"1:18'39""","1:18'39""",0.20,Forage,,,
"1:18'39""","1:18'39""",0.40,Walk Right,,,
"1:18'39""","1:18'39""",0.20,Forage,,,
"1:18'40""","1:18'40""",0.16,Forage,,,
"1:18'40""","1:18'40""",0.28,Walk Right,,,
"1:18'40""","1:18'40""",0.24,Rear up Partially,,,
"1:18'40""","1:18'41""",0.24,Walk Right,,,
"1:18'41""","1:18'41""",0.24,Walk Slowly,,,
"1:18'41""","1:18'41""",0.20,Rear up Full From Partial,,,
"1:18'41""","1:18'41""",0.32,Jump,,,
"1:18'41""","1:18'42""",0.28,Come Down To Partially Reared,,,
"1:18'42""","1:18'42""",0.24,Sniff,,,
"1:18'42""","1:18'42""",0.24,Rear up Full From Partial,,,
"1:18'42""","1:18'43""",0.72,Sniff,,,
"1:18'43""","1:18'43""",0.48,"ComeDown(CDtoPR, CDfromPR)",,,
"1:18'44""","1:18'44""",0.24,Walk Left,,,
"1:18'44""","1:18'45""",0.48,Walk Slowly,,,
"1:18'45""","1:18'45""",0.24,Walk Right,,,
"1:18'46""","1:18'46""",0.48,"RearUp(RUtoPR, RUfromPR)",,,
"1:18'46""","1:18'46""",0.24,Walk Right,,,
"1:18'46""","1:18'47""",0.48,Remain RearUp,,,
"1:18'47""","1:18'47""",0.24,Hang Vertically From Rear Up,,,
"1:18'47""","1:18'48""",0.60,Come Down To Partially Reared,,,
"1:18'48""","1:18'48""",0.24,Remain Partially Reared,,,
"1:18'48""","1:18'48""",0.24,Rear up Full From Partial,,,
"1:18'48""","1:18'52""",4.20,Sniff,,,
"1:18'52""","1:18'53""",0.72,Drink Spout1,,,
"1:18'53""","1:18'53""",0.24,Remain RearUp,,,
"1:18'53""","1:19'00""",6.24,"HangVertically(HVfromRU, RemainHV, HVfromRU, RemainHV)",,,
"1:19'00""","1:19'01""",1.92,"HangCuddled(HangCudl, RemainHC)",,,
"1:19'01""","1:19'02""",0.48,"HangVertically(HVfromHC, RemainHV)",,,
"1:19'02""","1:19'02""",0.24,Hang Cuddled,,,
"1:19'02""","1:19'03""",0.72,"HangVertically(HVfromHC, RemainHV)",,,
"1:19'03""","1:19'04""",0.72,"ComeDown(CDtoPR, CDfromPR)",,,
"1:19'04""","1:19'04""",0.24,Walk Left,,,
"1:19'04""","1:19'04""",0.36,Rear up Partially,,,
"1:19'04""","1:19'05""",0.24,Remain Partially Reared,,,
"1:19'05""","1:19'06""",1.20,Eat Zone1,,,
"1:19'06""","1:19'06""",0.24,Come Down From Partially Reared,,,
"1:19'06""","1:19'06""",0.24,Walk Slowly,,,
"1:19'08""","1:19'08""",0.16,Forage,,,
"1:19'08""","1:19'08""",0.28,Walk Right,,,
"1:19'08""","1:19'09""",0.24,Rear up Partially,,,
"1:19'09""","1:19'09""",0.72,Remain Partially Reared,,,
"1:19'09""","1:19'11""",1.60,"RearUp(RUfromPR, RemainRU)",,,
"1:19'11""","1:19'12""",0.56,Land Vertically,,,
"1:19'12""","1:19'13""",1.20,Sniff,,,
"1:19'13""","1:19'13""",0.24,Come Down To Partially Reared,,,
"1:19'13""","1:19'13""",0.24,Remain Partially Reared,,,
"1:19'13""","1:19'14""",0.24,Rear up Full From Partial,,,
"1:19'14""","1:19'16""",2.28,Sniff,,,
"1:19'16""","1:19'16""",0.24,Hang Vertically From Rear Up,,,
"1:19'16""","1:19'29""",13.44,"HangCuddled(HangCudl, RemainHC, HangCudl, RemainHC)",,,
"1:19'29""","1:19'30""",0.52,HangVertically From HangCuddled,,,
"1:19'31""","1:19'32""",0.48,Drink Spout1,,,
"1:19'32""","1:19'32""",0.24,Sniff,,,
"1:19'32""","1:19'32""",0.72,Drink Spout1,,,
"1:19'32""","1:19'33""",0.24,Sniff,,,
"1:19'33""","1:19'36""",3.36,Drink Spout1,,,
"1:19'36""","1:19'37""",0.48,Sniff,,,
"1:19'37""","1:19'37""",0.48,Drink Spout1,,,
"1:19'37""","1:19'38""",1.44,Sniff,,,
"1:19'38""","1:19'39""",0.24,Rear up Full From Partial,,,
"1:19'39""","1:19'39""",0.24,Come Down To Partially Reared,,,
"1:19'39""","1:19'39""",0.24,Sniff,,,
"1:19'39""","1:19'41""",1.68,Drink Spout1,,,
"1:19'41""","1:19'41""",0.24,Sniff,,,
"1:19'41""","1:19'42""",0.48,Drink Spout1,,,
"1:19'42""","1:19'42""",0.24,Sniff,,,
"1:19'42""","1:19'43""",1.20,Drink Spout1,,,
"1:19'43""","1:19'44""",0.96,Sniff,,,
"1:19'44""","1:19'44""",0.24,Come Down From Partially Reared,,,
"1:19'44""","1:19'44""",0.24,Rear up Partially,,,
"1:19'44""","1:19'45""",0.88,Walk Left,,,
"1:19'45""","1:19'50""",4.28,Groom,,B_L<-PLF<-HdW,
"1:19'50""","1:19'55""",5.64,Groom,,PLR,
"1:19'58""","1:20'01""",2.40,Chew,,,
"1:20'04""","1:20'05""",0.12,Forage,,,
"1:20'05""","1:20'05""",0.16,Dig,,,
"1:20'05""","1:20'05""",0.16,Forage,,,
"1:20'09""","1:20'10""",1.68,Eat Zone1,,,
"1:20'23""","1:20'26""",2.92,Eat Zone1,,face-front/back,
"1:20'26""","1:20'29""",2.88,Chew,,,
"1:20'32""","1:20'32""",0.24,Dig,,,
"1:20'33""","1:20'40""",6.72,Groom,,PLF,
"1:20'43""","1:20'47""",3.92,Groom,,PLF,
